Date,Close/Last,Volume,Open,High,Low
09/05/2019,122.57,3671890,121.40,122.69,121.40
09/04/2019,120.27,4172500,119.70,120.38,119.178
09/03/2019,119.09,4322516,119.01,119.83,118.58
08/30/2019,119.58,3413757,120.56,120.8148,119.32
08/29/2019,120.30,2939487,119.88,120.54,119.51
08/28/2019,118.52,3891185,116.90,118.61,116.60
08/27/2019,117.06,3348097,118.10,118.27,116.89
08/26/2019,117.64,3453022,117.37,117.65,116.53
08/23/2019,116.49,7691828,118.75,119.35,116.0002
08/22/2019,119.67,2952113,119.94,120.26,118.85
08/21/2019,119.64,4670547,119.34,119.64,119.06
08/20/2019,117.38,3267072,117.33,118.12,117.12
08/19/2019,117.35,3122723,117.48,117.7768,116.985
08/16/2019,115.89,3980350,115.42,116.115,115.08
08/15/2019,114.59,5055419,115.48,115.65,113.63
08/14/2019,114.78,6406512,116.46,116.65,114.72
08/13/2019,118.49,4642874,116.40,119.50,116.01
08/12/2019,116.57,3201285,117.48,117.55,116.08
08/09/2019,118.29,3976369,119.05,119.32,117.62
08/08/2019,119.41,4669197,117.91,119.43,117.80
08/07/2019,117.15,5844916,115.46,117.30,114.85
08/06/2019,116.68,4447830,115.72,116.83,115.07
08/05/2019,114.93,6890823,116.10,116.11,114.09
08/02/2019,118.10,5550186,118.67,119.0846,117.64
08/01/2019,119.08,6631779,120.95,122.14,118.65
07/31/2019,120.72,4301714,122.08,122.1364,119.61
07/30/2019,122.12,2165182,122.11,122.48,121.92
07/29/2019,122.95,2205413,123.24,123.45,122.51
07/26/2019,123.55,2140166,123.17,123.65,122.76
07/25/2019,122.99,2399525,123.28,123.64,122.79
07/24/2019,123.68,2116785,122.54,123.69,122.52
07/23/2019,123.06,2429207,122.94,123.06,122.04
07/22/2019,122.23,2017022,122.37,122.57,121.76
07/19/2019,122.16,2064128,123.35,123.52,122.09
07/18/2019,122.97,2323053,122.88,123.21,122.15
07/17/2019,123.13,2299627,124.17,124.3499,123.13
07/16/2019,124.32,2051749,124.30,124.60,123.93
07/15/2019,124.48,1996598,124.35,124.54,123.85
07/12/2019,124.08,2487718,123.01,124.109,123.01
07/11/2019,122.67,1976179,122.83,123.06,122.40
07/10/2019,122.42,2385061,122.51,122.60,121.77
07/09/2019,121.98,1933470,121.38,122.14,121.25
07/08/2019,121.85,5074579,121.32,121.95,121.20
07/05/2019,121.70,3377531,120.98,121.81,120.65
07/03/2019,121.56,1809553,120.87,121.56,120.64
07/02/2019,120.51,9008528,120.10,120.57,119.63
07/01/2019,120.25,4149736,120.71,121.26,119.74
06/28/2019,119.20,6663696,119.04,119.45,119.00
06/27/2019,118.86,1954508,118.53,118.99,118.3341
06/26/2019,118.12,2438103,118.17,118.585,117.99
06/25/2019,117.74,3197210,119.12,119.29,117.56
06/24/2019,118.88,2890305,119.57,119.72,118.84
06/21/2019,119.52,5221239,119.94,120.26,119.51
06/20/2019,120.49,4188593,120.64,120.79,119.55
06/19/2019,119.66,3065283,119.56,119.89,118.75
06/18/2019,119.44,4398769,119.38,120.22,119.06
06/17/2019,118.54,2682356,118.71,118.94,118.40
06/14/2019,118.49,2547213,118.21,118.73,117.97
06/13/2019,118.23,3846360,117.61,118.40,117.54
06/12/2019,117.18,2792922,117.17,117.63,116.92
06/11/2019,117.21,5029539,117.69,118.22,116.72
06/10/2019,116.76,3729915,116.52,117.8001,116.44
06/07/2019,115.78,4044915,114.63,116.13,114.45
06/06/2019,114.13,3659817,113.55,114.41,113.08
06/05/2019,113.55,5258624,113.64,113.78,112.43
06/04/2019,112.99,5739530,111.00,113.03,110.0394
06/03/2019,110.01,8065586,110.67,111.06,109.43
05/31/2019,110.94,4252246,111.02,111.48,110.62
05/30/2019,112.41,3897644,112.05,112.79,112.03
05/29/2019,111.68,4768721,112.06,112.16,110.95
05/28/2019,112.68,4117968,113.75,114.3918,112.61
05/24/2019,113.43,2632546,113.90,114.09,112.96
05/23/2019,113.28,4956488,113.79,113.86,112.73
05/22/2019,114.70,3945431,114.97,115.8681,114.58
05/21/2019,115.89,3660299,115.43,116.19,115.03
05/20/2019,115.09,3538433,115.49,115.49,114.72
05/17/2019,115.91,3674507,115.81,117.3832,115.81
05/16/2019,116.80,3615889,116.21,117.49,116.011
05/15/2019,115.73,4156782,114.24,115.96,114.02
05/14/2019,114.95,4595948,114.33,115.51,113.78
05/13/2019,113.80,7642191,114.92,115.18,113.43
05/10/2019,117.29,6820805,116.83,117.795,115.11
05/09/2019,117.12,6383047,116.69,117.52,115.78
05/08/2019,117.60,7152701,117.37,118.30,117.01
05/07/2019,117.56,6578626,118.64,118.89,116.70
